lista,cvegeo,colonia_aprox,TVIVPAR,VIVPAR_HAB,VIVPAR_UT,vivpar_ut_pct,semaforo_ut,lat,lon
top10,2300800011510,Playa del Sol,40.0,0.0,40.0,100.0,rojo,20.67965095528284,-87.03739687169812
top10,2300800010033,Centro,464.0,23.0,437.0,94.18,rojo,20.627993193961935,-87.07201455075455
top10,2300800011012,Zazil Ha,827.0,33.0,763.0,92.26,rojo,20.636313204436917,-87.06325235195762
top10,2300800010067,Gonzalo Guerrero,2673.0,346.0,2115.0,79.12,rojo,20.6331983556884,-87.06851129073647
top10,2300800011506,El Cielo,239.0,41.0,184.0,76.99,rojo,20.674956504315027,-87.0401308786605
top10,2300800010442,Playacar Fase I,243.0,77.0,150.0,61.73,rojo,20.615188717757942,-87.08091031311176
top10,2300800010029,Centro,918.0,291.0,485.0,52.83,rojo,20.63093101947432,-87.07714286224851
top10,2300800010438,Playacar Fase II,682.0,227.0,309.0,45.31,rojo,20.613276944746207,-87.09033073453344
top10,2300800010993,(no resuelto),152.0,37.0,68.0,44.74,rojo,20.64713193190806,-87.08353912337377
top10,2300800011031,Nicte-Ha,135.0,19.0,53.0,39.26,rojo,20.657844135958918,-87.0563447547364
franja_6_8,2300800012190,(no resuelto),453.0,320.0,35.0,7.73,ambar,20.620693071556907,-87.10524030437092
franja_6_8,2300800011614,Cristo Rey,111.0,92.0,8.0,7.21,ambar,20.70702602929323,-87.07408936683302
franja_6_8,230080001146A,Cristo Rey,100.0,72.0,7.0,7.0,ambar,20.704451277434725,-87.07544228547124
franja_6_8,2300800011987,Misión de las Flores,100.0,82.0,7.0,7.0,ambar,20.661306280467517,-87.10801489826858
franja_6_8,2300800010809,(no resuelto),471.0,359.0,31.0,6.58,ambar,20.624846337745907,-87.09055786486995
franja_6_8,2300800012326,(no resuelto),64.0,45.0,4.0,6.25,ambar,20.623539506069516,-87.1014193602936
franja_6_8,2300800011421,Marsella III,129.0,75.0,8.0,6.2,ambar,20.676428491738967,-87.06402295752248
